Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
13	-31621.85	-31467.45	-154.4022	6.59196	7.65691	2.72314	14.91991	0.97433	0.0186052	0.0070645	2.92299	0.0558157	0.0211935	1.791829	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.030475	0.0615091	0.242386	0.198564	0.208734	0.0720572	0.135857	0.0504172	0.2438	0.492072	1.93909	1.58851	1.66987	0.576458	1.08686	0.403337	18.00137
14	-30729.31	-30580.81	-148.4941	6.57389	7.68147	2.72141	14.91991	0.970727	0.0185364	0.0107366	2.91218	0.0556093	0.0322099	1.791829	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.0737736	0.0587621	0.231561	0.189696	0.199412	0.0688392	0.12979	0.0481655	0.590188	0.470097	1.85249	1.51757	1.5953	0.550713	1.03832	0.385324	17.41008
15	-30360.48	-30216.92	-143.5509	6.57389	7.68147	2.72141	14.91991	0.970727	0.0185364	0.0107366	2.91218	0.0556093	0.0322099	2.353687	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.0737736	0.0587621	0.231561	0.189696	0.199412	0.0688392	0.12979	0.0481655	0.590188	0.470097	1.85249	1.51757	1.5953	0.550713	1.03832	0.385324	16.85957
16	-29591.75	-29455.14	-136.6145	6.53923	7.68147	2.72141	17.73402	0.970731	0.0185365	0.0107326	2.91219	0.0556095	0.0321978	2.19587	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.0738094	0.0583046	0.231674	0.189788	0.199509	0.0688726	0.129853	0.048189	0.590475	0.466437	1.85339	1.51831	1.59607	0.550981	1.03882	0.385512	15.90376
17	-28557.39	-28427.45	-129.9417	4.3074	7.68147	2.64798	17.65763	0.970731	0.0185365	0.0107326	2.91219	0.0556095	0.0321978	2.19587	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.0886301	0.0700119	0.278193	0.0271008	0.23957	0.082702	0.155927	0.0578651	0.709041	0.560096	2.22555	0.216806	1.91656	0.661616	1.24741	0.462921	15.47465
18	-27797.53	-27682.89	-114.6446	3.38897	6.24148	2.63815	13.21596	0.971176	0.018545	0.0102792	2.91353	0.055635	0.0308377	2.161873	0.5288669	0.0388548	0.270344	0.840187	2.85061	0.0886301	0.0700119	0.278193	0.0271008	0.23957	0.082702	0.155927	0.0578651	0.709041	0.560096	2.22555	0.216806	1.91656	0.661616	1.24741	0.462921	14.62933
19	-27396.61	-27288.07	-108.5418	2.87	6.24148	2.63815	13.97929	0.971176	0.018545	0.0102792	2.91353	0.055635	0.0308377	2.161873	0.5694217	0.0468689	0.294841	0.864879	2.79341	0.0886301	0.0700119	0.278193	0.0271008	0.23957	0.082702	0.155927	0.0578651	0.709041	0.560096	2.22555	0.216806	1.91656	0.661616	1.24741	0.462921	13.99462
20	-27055.06	-26949.72	-105.3457	2.85733	6.12582	2.63815	14.79705	0.966639	0.0221216	0.0112391	2.89992	0.0663648	0.0337174	2.519877	0.7171643	0.0778577	0.371517	0.931067	2.61956	0.0893297	0.0406128	0.280389	0.0273147	0.241461	0.105413	0.157158	0.0583219	0.714638	0.324902	2.24311	0.218518	1.93169	0.843304	1.25726	0.466575	13.57027
21	-26788.2	-26689.94	-98.25802	2.8532	6.14876	2.63815	14.79705	0.962215	0.0235127	0.0142719	2.88665	0.0705381	0.0428157	2.719861	0.5681556	0.0466138	0.294101	0.864161	2.79512	0.0750259	0.0341097	0.235492	0.022941	0.202797	0.0885338	0.316487	0.0246128	0.600207	0.272878	1.88394	0.183528	1.62238	0.708271	2.5319	0.196903	12.83962
22	-26618.46	-26524.08	-94.37975	2.8532	6.16641	2.64142	16.53238	0.962215	0.0235127	0.0142719	2.88665	0.0705381	0.0428157	2.982578	0.7689419	0.0889349	0.394323	0.947963	2.56878	0.0521644	0.023716	0.468449	0.0159505	0.141002	0.0615563	0.220049	0.0171129	0.417315	0.189728	3.74759	0.127604	1.12802	0.49245	1.76039	0.136904	12.2499
23	-26510.38	-26419.14	-91.24008	2.8532	6.16641	2.55033	18.44369	0.956945	0.028861	0.0141937	2.87084	0.086583	0.0425812	3.467539	0.583764	0.0497776	0.303126	0.872804	2.77429	0.0521644	0.023716	0.468449	0.0159505	0.141002	0.0615563	0.220049	0.0171129	0.417315	0.189728	3.74759	0.127604	1.12802	0.49245	1.76039	0.136904	11.70541
24	-26108.57	-26025.42	-83.14734	2.8532	6.16641	2.47486	18.44369	0.956945	0.028861	0.0141937	2.87084	0.086583	0.0425812	3.467539	0.583764	0.0497776	0.303126	0.872804	2.77429	0.0521644	0.023716	0.468449	0.0159505	0.141002	0.0615563	0.220049	0.0171129	0.417315	0.189728	3.74759	0.127604	1.12802	0.49245	1.76039	0.136904	10.90368
25	-25956.38	-25875.49	-80.88585	2.8532	5.87862	2.47486	18.44369	0.956945	0.028861	0.0141937	2.87084	0.086583	0.0425812	2.160792	0.8233579	0.100518	0.416371	0.963223	2.51989	0.0521644	0.023716	0.468449	0.0159505	0.141002	0.0615563	0.220049	0.0171129	0.417315	0.189728	3.74759	0.127604	1.12802	0.49245	1.76039	0.136904	10.83699
26	-25826.73	-25748.88	-77.8479	2.84806	5.87862	1.86017	19.22082	0.956945	0.028861	0.0141937	2.87084	0.086583	0.0425812	3.233354	0.7529311	0.0855116	0.38747	0.943008	2.58401	0.0521644	0.023716	0.468449	0.0159505	0.141002	0.0615563	0.220049	0.0171129	0.417315	0.189728	3.74759	0.127604	1.12802	0.49245	1.76039	0.136904	10.41021
27	-25693.02	-25614.12	-78.90315	2.84806	5.87862	1.85515	19.22082	0.956945	0.028861	0.0141937	2.87084	0.086583	0.0425812	2.466254	0.7529311	0.0855116	0.38747	0.943008	2.58401	0.0521644	0.023716	0.468449	0.0159505	0.141002	0.0615563	0.220049	0.0171129	0.417315	0.189728	3.74759	0.127604	1.12802	0.49245	1.76039	0.136904	10.59294
28	-25495.83	-25419.98	-75.84438	2.84806	5.87862	1.85515	19.22082	0.956945	0.028861	0.0141937	2.87084	0.086583	0.0425812	2.636691	0.7529311	0.0855116	0.38747	0.943008	2.58401	0.0521644	0.023716	0.468449	0.0159505	0.141002	0.0615563	0.220049	0.0171129	0.417315	0.189728	3.74759	0.127604	1.12802	0.49245	1.76039	0.136904	10.27002
29	-25331.25	-25259.73	-71.51767	2.72151	5.87862	1.51461	19.22082	0.956945	0.028861	0.0141937	2.87084	0.086583	0.0425812	2.644572	0.8613183	0.108524	0.430698	0.972598	2.48818	0.0513342	0.0233385	0.460993	0.0156967	0.154674	0.0605766	0.216547	0.0168406	0.410673	0.186708	3.68794	0.125573	1.23739	0.484613	1.73237	0.134725	9.883272
30	-25283.64	-25210.35	-73.28615	2.72151	5.88248	1.51461	19.22082	0.955469	0.0288165	0.0157141	2.86641	0.0864495	0.0471424	2.927984	0.7645439	0.087995	0.392458	0.946625	2.57292	0.0506625	0.0230332	0.454961	0.0154913	0.15265	0.0728679	0.213714	0.0166202	0.4053	0.184265	3.63969	0.12393	1.2212	0.582943	1.70971	0.132962	10.03139
31	-25153.06	-25079.57	-73.48745	2.72151	5.88248	1.51461	20.41151	0.951702	0.0287029	0.0195955	2.85511	0.0861086	0.0587864	2.797944	0.7645439	0.087995	0.392458	0.946625	2.57292	0.051398	0.0233676	0.461566	0.0157162	0.140348	0.0739258	0.216816	0.0168615	0.411184	0.18694	3.69253	0.12573	1.12279	0.591406	1.73453	0.134892	9.945457
32	-25095.82	-25024.14	-71.67706	2.71041	5.88248	1.51319	20.41151	0.932194	0.0402957	0.0275099	2.79658	0.120887	0.0825298	3.482678	0.7645439	0.087995	0.392458	0.946625	2.57292	0.051398	0.0233676	0.461566	0.0157162	0.140348	0.0739258	0.216816	0.0168615	0.411184	0.18694	3.69253	0.12573	1.12279	0.591406	1.73453	0.134892	9.697198
33	-25045.09	-24979.63	-65.46388	2.71041	5.88248	1.51319	20.41151	0.937933	0.0368854	0.0251817	2.8138	0.110656	0.0755451	3.064544	0.8119825	0.0981059	0.411914	0.960221	2.52976	0.0504527	0.0229377	0.453077	0.0154271	0.137767	0.0909594	0.212828	0.0165514	0.403621	0.183502	3.62461	0.123417	1.10213	0.727675	1.70263	0.132411	9.117693
34	-24963.58	-24903.88	-59.70079	2.71041	5.7984	1.07583	20.22927	0.937933	0.0368854	0.0251817	2.8138	0.110656	0.0755451	2.853473	0.8119825	0.0981059	0.411914	0.960221	2.52976	0.0504527	0.0229377	0.453077	0.0154271	0.137767	0.0909594	0.212828	0.0165514	0.403621	0.183502	3.62461	0.123417	1.10213	0.727675	1.70263	0.132411	8.632859
35	-24921.62	-24863.24	-58.38352	2.71041	5.7984	1.07379	20.22927	0.937933	0.0368854	0.0251817	2.8138	0.110656	0.0755451	2.853473	0.8119825	0.0981059	0.411914	0.960221	2.52976	0.0504527	0.0229377	0.453077	0.0154271	0.137767	0.0909594	0.212828	0.0165514	0.403621	0.183502	3.62461	0.123417	1.10213	0.727675	1.70263	0.132411	8.501337
36	-24825.69	-24767.71	-57.98809	2.71041	5.96405	0.889186	20.22927	0.926895	0.0482193	0.0248854	2.78069	0.144658	0.0746561	3.893636	0.8119825	0.0981059	0.411914	0.960221	2.52976	0.0504527	0.0229377	0.453077	0.0154271	0.137767	0.0909594	0.212828	0.0165514	0.403621	0.183502	3.62461	0.123417	1.10213	0.727675	1.70263	0.132411	8.359673
37	-24774.18	-24720.04	-54.13315	2.69877	5.91936	0.889186	20.22927	0.926895	0.0482193	0.0248854	2.78069	0.144658	0.0746561	3.305049	0.565379	0.0460554	0.292471	0.862573	2.7989	0.0507524	0.023074	0.455768	0.0155188	0.138585	0.0914998	0.214093	0.0107092	0.406019	0.184592	3.64615	0.12415	1.10868	0.731998	1.71274	0.0856736	8.03867
