Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
10	-35818.94	-35597.38	-221.5627	5.12893	8.58121	4.88849	20.01008	0.946341	0.0159251	0.0377336	2.83902	0.0477753	0.113201	0.3258028	0.2346633	0.00147237	0.0558599	0.468008	3.47466	0.0720902	0.00233676	0.109807	0.0315672	0.0788966	0.32587	0.12066	0.258772	0.576721	0.0186941	0.878459	0.252538	0.631172	2.60696	0.965283	2.07017	24.19234
11	-34020.72	-33810.56	-210.1603	5.12893	8.58121	4.88849	24.62857	0.959405	0.0161449	0.0244502	2.87821	0.0484348	0.0733505	0.4221978	0.3020816	0.00546568	0.106115	0.599282	3.28914	0.0820222	0.0026587	0.135145	0.0359163	0.0897663	0.222785	0.137284	0.294423	0.656177	0.0212696	1.08116	0.287331	0.71813	1.78228	1.09827	2.35538	22.58061
12	-32733.14	-32542.61	-190.5327	5.12893	8.61595	4.88849	24.62857	0.959405	0.0161449	0.0244502	2.87821	0.0484348	0.0733505	0.6431807	0.3307171	0.00811475	0.128506	0.643959	3.21942	0.0820222	0.0026587	0.135145	0.0359163	0.0897663	0.222785	0.137284	0.294423	0.656177	0.0212696	1.08116	0.287331	0.71813	1.78228	1.09827	2.35538	20.59228
13	-31821.88	-31642.51	-179.37	5.12893	8.61595	4.88849	25.51114	0.954873	0.0207923	0.0243347	2.86462	0.0623768	0.073004	1.133666	0.3966894	0.0162397	0.179279	0.727673	3.07681	0.0937543	0.00303899	0.154476	0.0410537	0.102606	0.254651	0.156921	0.1935	0.750035	0.0243119	1.23581	0.328429	0.820849	2.03721	1.25536	1.548	19.3387
14	-31001.68	-30830.04	-171.6375	5.04369	8.57985	4.88046	25.51114	0.954873	0.0207923	0.0243347	2.86462	0.0623768	0.073004	1.327306	0.6490537	0.0633578	0.338467	0.90442	2.69375	0.0383567	0.00322476	0.163919	0.0435632	0.108878	0.270217	0.166513	0.205328	0.306854	0.0257981	1.31135	0.348506	0.871026	2.16174	1.3321	1.64262	18.55902
15	-30499.67	-30337.72	-161.9528	5.04369	8.57985	4.88046	23.01476	0.954873	0.0207923	0.0243347	2.86462	0.0623768	0.073004	1.520025	0.6490537	0.0633578	0.338467	0.90442	2.69375	0.0376037	0.0227941	0.1607	0.042708	0.106741	0.264912	0.163244	0.201297	0.300829	0.182353	1.2856	0.341664	0.853926	2.1193	1.30595	1.61038	17.82092
16	-29713.8	-29571.74	-142.0592	5.01985	8.72057	4.88046	18.77293	0.954873	0.0207923	0.0243347	2.86462	0.0623768	0.073004	1.622413	0.7093413	0.0761846	0.367905	0.928281	2.62763	0.0370803	0.0224768	0.158464	0.0421136	0.119173	0.261225	0.160972	0.198495	0.296642	0.179815	1.26771	0.336908	0.953383	2.0898	1.28777	1.58796	16.23381
17	-29026.24	-28893.76	-132.4816	5.01985	8.42906	3.00724	18.77293	0.954873	0.0207923	0.0243347	2.86462	0.0623768	0.073004	2.552526	0.7093413	0.0761846	0.367905	0.928281	2.62763	0.0370803	0.0224768	0.158464	0.0421136	0.119173	0.261225	0.160972	0.198495	0.296642	0.179815	1.26771	0.336908	0.953383	2.0898	1.28777	1.58796	15.39952
18	-28652.64	-28528.22	-124.4191	5.00902	8.42906	3.00724	18.77293	0.956131	0.0208196	0.0230495	2.86839	0.0624589	0.0691485	2.1677	0.7093413	0.0761846	0.367905	0.928281	2.62763	0.0370803	0.0224768	0.158464	0.0421136	0.119173	0.261225	0.160972	0.198495	0.296642	0.179815	1.26771	0.336908	0.953383	2.0898	1.28777	1.58796	14.63283
19	-27998.78	-27880.74	-118.0447	5.00902	8.42906	3.01754	18.77293	0.956131	0.0208196	0.0230495	2.86839	0.0624589	0.0691485	1.796036	0.7093413	0.0761846	0.367905	0.928281	2.62763	0.0302151	0.0183154	0.314269	0.0343165	0.0971087	0.212861	0.131169	0.161745	0.241721	0.146523	2.51415	0.274532	0.77687	1.70289	1.04935	1.29396	14.03153
20	-27752.72	-27643.63	-109.0903	5.00902	8.42906	2.28924	19.95462	0.956131	0.0208196	0.0230495	2.86839	0.0624589	0.0691485	1.656595	0.7093413	0.0761846	0.367905	0.928281	2.62763	0.0311481	0.0188809	0.323974	0.0353761	0.100107	0.188555	0.135219	0.16674	0.249185	0.151047	2.59179	0.283009	0.800859	1.50844	1.08175	1.33392	13.1047
21	-27106.97	-27004.02	-102.956	5.00367	8.42906	2.28924	19.95462	0.945757	0.0314439	0.0227994	2.83727	0.0943317	0.0683982	2.046019	0.7093413	0.0761846	0.367905	0.928281	2.62763	0.0311481	0.0188809	0.323974	0.0353761	0.100107	0.188555	0.135219	0.16674	0.249185	0.151047	2.59179	0.283009	0.800859	1.50844	1.08175	1.33392	12.45286
22	-26915.06	-26818.65	-96.40857	4.84019	8.42906	2.28924	19.95462	0.945757	0.0314439	0.0227994	2.83727	0.0943317	0.0683982	2.33443	0.7093413	0.0761846	0.367905	0.928281	2.62763	0.0594336	0.0183297	0.314515	0.0343433	0.0971847	0.18305	0.131271	0.161872	0.475469	0.146638	2.51612	0.274747	0.777478	1.4644	1.05017	1.29497	11.78562
23	-26679.41	-26592.27	-87.14659	4.79644	8.43454	1.66204	19.76223	0.94711	0.0305856	0.0223042	2.84133	0.0917568	0.0669125	2.33443	0.6637586	0.0664703	0.345916	0.910661	2.67695	0.0594498	0.0183347	0.314601	0.0340805	0.0972112	0.1831	0.131307	0.161916	0.475598	0.146678	2.51681	0.272644	0.77769	1.4648	1.05046	1.29533	10.94521
24	-25862.11	-25778.66	-83.44836	4.59168	8.44715	1.66204	19.76223	0.948362	0.032632	0.0190062	2.84509	0.097896	0.0570187	2.33443	0.6637586	0.0664703	0.345916	0.910661	2.67695	0.0594498	0.0183347	0.314601	0.0340805	0.0972112	0.1831	0.131307	0.161916	0.475598	0.146678	2.51681	0.272644	0.77769	1.4648	1.05046	1.29533	10.5946
25	-25731.12	-25649.51	-81.60334	4.59168	8.44715	1.68582	19.76223	0.948362	0.032632	0.0190062	2.84509	0.097896	0.0570187	2.676409	0.6637586	0.0664703	0.345916	0.910661	2.67695	0.0594498	0.0183347	0.314601	0.0340805	0.0972112	0.1831	0.131307	0.161916	0.475598	0.146678	2.51681	0.272644	0.77769	1.4648	1.05046	1.29533	10.37352
26	-25634.89	-25558.83	-76.05702	4.59168	8.46105	1.68582	19.76223	0.948362	0.032632	0.0190062	2.84509	0.097896	0.0570187	4.02176	0.6637586	0.0664703	0.345916	0.910661	2.67695	0.0594498	0.0183347	0.314601	0.0340805	0.0972112	0.1831	0.131307	0.161916	0.475598	0.146678	2.51681	0.272644	0.77769	1.4648	1.05046	1.29533	9.682967
27	-25476.76	-25406.79	-69.97301	4.59168	8.46105	1.68582	19.76223	0.948362	0.032632	0.0190062	2.84509	0.097896	0.0570187	2.913447	0.759514	0.0869196	0.390309	0.945073	2.5777	0.0505836	0.0156003	0.267682	0.0289978	0.0827134	0.155793	0.260862	0.137768	0.404669	0.124802	2.14146	0.231982	0.661707	1.24634	2.08689	1.10214	9.185397
28	-25140.73	-25071.09	-69.64128	2.80059	8.46105	1.72879	19.76223	0.948362	0.032632	0.0190062	2.84509	0.097896	0.0570187	2.751703	0.759514	0.0869196	0.390309	0.945073	2.5777	0.0503388	0.0155248	0.266387	0.0288575	0.0871519	0.155039	0.259599	0.137101	0.402711	0.124199	2.1311	0.23086	0.697215	1.24031	2.0768	1.09681	9.343212
29	-25018.44	-24952.12	-66.32178	2.80059	8.08662	1.45042	19.76223	0.942908	0.0381948	0.018897	2.82872	0.114584	0.0566909	2.433251	0.759514	0.0869196	0.390309	0.945073	2.5777	0.0464071	0.0143122	0.24558	0.0266035	0.19399	0.107391	0.239323	0.126393	0.371257	0.114498	1.96464	0.212828	1.55192	0.859126	1.91459	1.01114	9.108385
30	-24960.6	-24896.78	-63.81696	2.80059	8.08662	1.45296	19.76223	0.940407	0.0398684	0.019725	2.82122	0.119605	0.0591749	3.074653	0.8648134	0.109257	0.431976	0.973414	2.48535	0.0464071	0.0143122	0.24558	0.0266035	0.19399	0.107391	0.239323	0.126393	0.371257	0.114498	1.96464	0.212828	1.55192	0.859126	1.91459	1.01114	8.79351
31	-24923.17	-24856.8	-66.36982	2.76235	8.08662	1.44938	19.76223	0.940407	0.0398684	0.019725	2.82122	0.119605	0.0591749	3.438659	0.8648134	0.109257	0.431976	0.973414	2.48535	0.0480955	0.014833	0.254515	0.0275714	0.201048	0.0749152	0.24803	0.130992	0.384764	0.118664	2.03612	0.220572	1.60838	0.599321	1.98424	1.04793	9.016576
32	-24847.75	-24781.82	-65.93	2.76235	8.00999	1.45173	19.76223	0.937615	0.03975	0.0226355	2.81284	0.11925	0.0679065	3.266228	0.6879265	0.0716114	0.357777	0.920311	2.6503	0.0480955	0.014833	0.254515	0.0275714	0.201048	0.0749152	0.24803	0.130992	0.384764	0.118664	2.03612	0.220572	1.60838	0.599321	1.98424	1.04793	8.997266
33	-24745.01	-24685.36	-59.64423	2.76235	8.00999	1.45235	19.76223	0.937615	0.03975	0.0226355	2.81284	0.11925	0.0679065	2.447536	0.6879265	0.0716114	0.357777	0.920311	2.6503	0.0480955	0.014833	0.254515	0.0275714	0.201048	0.0749152	0.24803	0.130992	0.384764	0.118664	2.03612	0.220572	1.60838	0.599321	1.98424	1.04793	8.450496
34	-24712.9	-24650.01	-62.89559	2.75183	8.00999	1.45235	19.3357	0.937615	0.03975	0.0226355	2.81284	0.11925	0.0679065	3.632641	0.6879265	0.0716114	0.357777	0.920311	2.6503	0.0476627	0.023699	0.252225	0.0273233	0.199238	0.074241	0.245798	0.129813	0.381301	0.189592	2.0178	0.218587	1.59391	0.593928	1.96639	1.0385	8.700826
35	-24696.23	-24635.53	-60.70147	2.75183	7.88085	1.45235	19.3357	0.93731	0.0400616	0.0226282	2.81193	0.120185	0.0678845	3.047351	0.6879265	0.0716114	0.357777	0.920311	2.6503	0.0476627	0.023699	0.252225	0.0273233	0.199238	0.074241	0.245798	0.129813	0.381301	0.189592	2.0178	0.218587	1.59391	0.593928	1.96639	1.0385	8.552857
36	-24620.22	-24563.95	-56.26631	2.74737	7.88085	0.932882	19.3357	0.932165	0.0398417	0.0279937	2.79649	0.119525	0.0839812	2.927689	0.6879265	0.0716114	0.357777	0.920311	2.6503	0.0476627	0.023699	0.252225	0.0273233	0.199238	0.074241	0.245798	0.129813	0.381301	0.189592	2.0178	0.218587	1.59391	0.593928	1.96639	1.0385	8.173701
37	-24584.53	-24529.27	-55.25633	2.74737	7.87192	0.932882	19.26515	0.931015	0.0410254	0.0279592	2.79305	0.123076	0.0838777	2.91061	0.6879265	0.0716114	0.357777	0.920311	2.6503	0.0476627	0.023699	0.252225	0.0273233	0.199238	0.074241	0.245798	0.129813	0.381301	0.189592	2.0178	0.218587	1.59391	0.593928	1.96639	1.0385	8.082358
38	-24542.8	-24491.26	-51.53936	2.74737	7.86049	0.914028	19.26515	0.931015	0.0410254	0.0279592	2.79305	0.123076	0.0838777	3.966236	0.6879265	0.0716114	0.357777	0.920311	2.6503	0.0457196	0.0227329	0.287819	0.0211002	0.191116	0.0712144	0.235778	0.124521	0.365757	0.181863	2.30255	0.168801	1.52893	0.569715	1.88622	0.996165	7.608128
39	-24487.65	-24436.81	-50.83678	2.74737	7.62062	0.879906	21.23103	0.931015	0.0410254	0.0279592	2.79305	0.123076	0.0838777	3.15598	0.8532272	0.106824	0.427712	0.970678	2.49479	0.0457196	0.0227329	0.287819	0.0211002	0.191116	0.0712144	0.235778	0.124521	0.365757	0.181863	2.30255	0.168801	1.52893	0.569715	1.88622	0.996165	7.449706
40	-24436.01	-24383.66	-52.346	2.70019	7.84869	0.879906	21.23103	0.931015	0.0410254	0.0279592	2.79305	0.123076	0.0838777	4.041339	1.038023	0.144478	0.48789	1.00603	2.36161	0.0457196	0.0227329	0.287819	0.0211002	0.191116	0.0712144	0.235778	0.124521	0.365757	0.181863	2.30255	0.168801	1.52893	0.569715	1.88622	0.996165	7.494003
41	-24397.52	-24353.27	-44.25561	2.70019	7.58655	0.878244	21.23103	0.931015	0.0410254	0.0279592	2.79305	0.123076	0.0838777	3.154049	1.038023	0.144478	0.48789	1.00603	2.36161	0.0457196	0.0227329	0.287819	0.0211002	0.191116	0.0712144	0.235778	0.124521	0.365757	0.181863	2.30255	0.168801	1.52893	0.569715	1.88622	0.996165	6.800073
42	-24049.95	-24010.79	-39.15939	1.65937	7.26055	0.878244	21.23103	0.913662	0.0589003	0.0274381	2.74098	0.176701	0.0823142	3.976049	1.038023	0.144478	0.48789	1.00603	2.36161	0.0465719	0.0231566	0.353189	0.0214935	0.194679	0.0725419	0.240173	0.0481949	0.372575	0.185253	2.82551	0.171948	1.55743	0.580336	1.92139	0.385559	6.344933
43	-24001.23	-23962.49	-38.73873	1.65708	7.22436	0.878244	21.23103	0.913662	0.0589003	0.0274381	2.74098	0.176701	0.0823142	4.074935	1.038023	0.144478	0.48789	1.00603	2.36161	0.0468396	0.0232897	0.355219	0.0216171	0.19005	0.0729589	0.241554	0.0484719	0.374716	0.186318	2.84175	0.172936	1.5204	0.583671	1.93243	0.387775	6.296826
44	-23894.19	-23855.94	-38.24386	1.64535	7.22436	0.877142	21.23103	0.904548	0.0546767	0.0407749	2.71365	0.16403	0.122325	3.816881	0.7644853	0.0879825	0.392433	0.946607	2.57298	0.0485863	0.0241583	0.368466	0.0224232	0.197138	0.0756797	0.250562	0.0129868	0.388691	0.193266	2.94773	0.179386	1.5771	0.605438	2.00449	0.103894	6.274428
45	-23862.06	-23823.98	-38.08109	1.64535	7.22436	0.857739	21.5475	0.904592	0.0546516	0.0407562	2.71378	0.163955	0.122269	5.519948	1.237987	0.181869	0.538215	1.03045	2.24946	0.0485863	0.0241583	0.368466	0.0224232	0.197138	0.0756797	0.250562	0.0129868	0.388691	0.193266	2.94773	0.179386	1.5771	0.605438	2.00449	0.103894	6.058138
46	-23831.52	-23796	-35.52242	1.57039	7.34014	0.857739	21.5475	0.901252	0.058142	0.0406057	2.70376	0.174426	0.121817	4.014328	1.237987	0.181869	0.538215	1.03045	2.24946	0.0485863	0.0241583	0.368466	0.0224232	0.197138	0.0756797	0.250562	0.0129868	0.388691	0.193266	2.94773	0.179386	1.5771	0.605438	2.00449	0.103894	5.948752
47	-23820.89	-23783.93	-36.96178	1.57039	7.17281	0.867823	21.5475	0.901252	0.058142	0.0406057	2.70376	0.174426	0.121817	4.525124	1.237987	0.181869	0.538215	1.03045	2.24946	0.0489467	0.0243374	0.371199	0.0225895	0.1986	0.076241	0.245004	0.0130831	0.391573	0.194699	2.96959	0.180716	1.5888	0.609928	1.96003	0.104665	6.057333
48	-23795.66	-23764.28	-31.37861	1.57039	5.10829	0.867823	22.20857	0.901252	0.058142	0.0406057	2.70376	0.174426	0.121817	4.354438	1.237987	0.181869	0.538215	1.03045	2.24946	0.0489467	0.0243374	0.371199	0.0225895	0.1986	0.076241	0.245004	0.0130831	0.391573	0.194699	2.96959	0.180716	1.5888	0.609928	1.96003	0.104665	5.656429
49	-23781.99	-23747.52	-34.46856	1.57039	5.10829	0.864246	22.20857	0.905557	0.0584197	0.0360233	2.71667	0.175259	0.10807	5.075276	1.237987	0.181869	0.538215	1.03045	2.24946	0.0489638	0.0243459	0.371329	0.0225974	0.198669	0.0762676	0.245089	0.0127384	0.39171	0.194767	2.97063	0.180779	1.58935	0.610141	1.96071	0.101907	5.893697
50	-23747.61	-23715.5	-32.11488	1.57039	5.12176	0.864246	22.20857	0.897919	0.0663612	0.0357194	2.69376	0.199083	0.107158	4.703147	1.237987	0.181869	0.538215	1.03045	2.24946	0.0489638	0.0243459	0.371329	0.0225974	0.198669	0.0762676	0.245089	0.0127384	0.39171	0.194767	2.97063	0.180779	1.58935	0.610141	1.96071	0.101907	5.694196
51	-23761.73	-23730.31	-31.4218	1.57039	4.11213	0.835814	22.20857	0.897919	0.0663612	0.0357194	2.69376	0.199083	0.107158	4.509598	0.9055301	0.117741	0.446391	0.982395	2.45347	0.0489638	0.0243459	0.371329	0.0225974	0.198669	0.0762676	0.245089	0.0127384	0.39171	0.194767	2.97063	0.180779	1.58935	0.610141	1.96071	0.101907	5.748048
52	-23749.01	-23719.71	-29.29262	1.56124	4.11213	0.835814	22.20857	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	3.604915	1.209073	0.176693	0.531688	1.02754	2.26408	0.0489638	0.0243459	0.371329	0.0225974	0.198669	0.0762676	0.245089	0.0127384	0.39171	0.194767	2.97063	0.180779	1.58935	0.610141	1.96071	0.101907	5.626513
53	-23724.11	-23692.7	-31.4145	1.54379	4.11213	0.835814	22.20857	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	5.346382	1.209073	0.176693	0.531688	1.02754	2.26408	0.0489638	0.0243459	0.371329	0.0225974	0.198669	0.0762676	0.245089	0.0127384	0.39171	0.194767	2.97063	0.180779	1.58935	0.610141	1.96071	0.101907	5.666299
54	-23674.94	-23646.4	-28.54099	1.54395	3.47868	0.850209	22.20857	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	4.457992	0.9756413	0.132068	0.469306	0.995844	2.40278	0.0489638	0.0243459	0.371329	0.0225974	0.198669	0.0762676	0.245089	0.0127384	0.39171	0.194767	2.97063	0.180779	1.58935	0.610141	1.96071	0.101907	5.529677
55	-23643.48	-23617.47	-26.00565	1.54395	3.46289	0.850209	22.20857	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	3.83101	0.662067	0.0661116	0.345069	0.909958	2.67886	0.0489638	0.0243459	0.371329	0.0225974	0.198669	0.0762676	0.245089	0.0127384	0.39171	0.194767	2.97063	0.180779	1.58935	0.610141	1.96071	0.101907	5.34042
56	-23622.21	-23595.81	-26.40517	1.54067	3.46289	0.840767	22.20857	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	5.61141	0.662067	0.0661116	0.345069	0.909958	2.67886	0.0472489	0.0234932	0.358323	0.021806	0.191711	0.10862	0.236505	0.0122923	0.377991	0.187946	2.86659	0.174448	1.53369	0.868961	1.89204	0.0983381	5.203605
57	-23571.05	-23542.71	-28.33744	1.54067	3.47814	0.834799	22.20857	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	4.406715	0.662067	0.0661116	0.345069	0.909958	2.67886	0.0462545	0.0229988	0.371827	0.0213471	0.187676	0.106334	0.231528	0.0120336	0.370036	0.183991	2.97462	0.170776	1.50141	0.850674	1.85222	0.0962686	5.516373
58	-23555.97	-23527.54	-28.42879	1.54067	3.41819	0.707859	23.62501	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	3.71662	0.662067	0.0661116	0.345069	0.909958	2.67886	0.0449338	0.0223421	0.36121	0.0207375	0.182317	0.103298	0.254398	0.0107627	0.35947	0.178737	2.88968	0.1659	1.45854	0.826383	2.03519	0.0861013	5.471563
59	-23557.53	-23530.68	-26.84264	1.54067	3.45946	0.707859	22.74281	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	4.857878	0.662067	0.0661116	0.345069	0.909958	2.67886	0.0449338	0.0223421	0.36121	0.0207375	0.182317	0.103298	0.254398	0.0107627	0.35947	0.178737	2.88968	0.1659	1.45854	0.826383	2.03519	0.0861013	5.282915
60	-23556.51	-23527.4	-29.10632	1.54067	3.45946	0.707859	22.74281	0.898116	0.0663757	0.0355087	2.69435	0.199127	0.106526	6.434912	0.9972316	0.136401	0.475918	0.99954	2.38814	0.0461892	0.0229664	0.371302	0.0213169	0.187411	0.106184	0.232559	0.0120712	0.369514	0.183731	2.97042	0.170535	1.49929	0.849473	1.86047	0.0965693	5.35158
61	-23539.04	-23512.69	-26.34802	1.50441	3.47241	0.707859	22.74281	0.898519	0.0659559	0.0355247	2.69556	0.197868	0.106574	4.314701	0.9972316	0.136401	0.475918	0.99954	2.38814	0.0461892	0.0229664	0.371302	0.0213169	0.187411	0.106184	0.232559	0.0120712	0.369514	0.183731	2.97042	0.170535	1.49929	0.849473	1.86047	0.0965693	5.290101
62	-23507.49	-23484.33	-23.1644	1.44053	3.47241	0.707859	22.74281	0.882265	0.07652	0.0412147	2.6468	0.22956	0.123644	4.105351	1.083577	0.153322	0.500508	1.01258	2.33359	0.0461892	0.0229664	0.371302	0.0213169	0.187411	0.106184	0.232559	0.0120712	0.369514	0.183731	2.97042	0.170535	1.49929	0.849473	1.86047	0.0965693	4.999063
63	-23500.06	-23476.03	-24.03391	1.44102	3.47241	0.706258	22.74281	0.882265	0.07652	0.0412147	2.6468	0.22956	0.123644	4.105351	1.083577	0.153322	0.500508	1.01258	2.33359	0.0461892	0.0229664	0.371302	0.0213169	0.187411	0.106184	0.232559	0.0120712	0.369514	0.183731	2.97042	0.170535	1.49929	0.849473	1.86047	0.0965693	5.086125
64	-23481.67	-23460.42	-21.2531	1.44102	3.47241	0.706258	22.74281	0.882265	0.07652	0.0412147	2.6468	0.22956	0.123644	4.105351	1.09236	0.155005	0.502855	1.01376	2.32838	0.0461892	0.0229664	0.371302	0.0213169	0.187411	0.106184	0.232559	0.0120712	0.369514	0.183731	2.97042	0.170535	1.49929	0.849473	1.86047	0.0965693	4.808043
65	-23481.39	-23458.88	-22.50518	1.41628	3.48196	0.706258	22.74281	0.882265	0.07652	0.0412147	2.6468	0.22956	0.123644	4.999563	1.09236	0.155005	0.502855	1.01376	2.32838	0.0461892	0.0229664	0.371302	0.0213169	0.187411	0.106184	0.232559	0.0120712	0.369514	0.183731	2.97042	0.170535	1.49929	0.849473	1.86047	0.0965693	4.84535
66	-23423.45	-23401.3	-22.14592	1.41628	2.22638	0.704409	23.96736	0.882265	0.07652	0.0412147	2.6468	0.22956	0.123644	5.31937	0.8563822	0.107487	0.428881	0.971432	2.4922	0.0427547	0.0212586	0.343693	0.0197318	0.173476	0.0982884	0.289624	0.0111736	0.342037	0.170069	2.74954	0.157855	1.38781	0.786307	2.31699	0.0893886	4.78073
67	-23414.81	-23391.64	-23.17125	1.41628	2.00613	0.703791	23.96736	0.882265	0.07652	0.0412147	2.6468	0.22956	0.123644	6.232697	0.8563822	0.107487	0.428881	0.971432	2.4922	0.0427547	0.0212586	0.343693	0.0197318	0.173476	0.0982884	0.289624	0.0111736	0.342037	0.170069	2.74954	0.157855	1.38781	0.786307	2.31699	0.0893886	4.814018
68	-23402.05	-23378.66	-23.38141	1.41628	2.01011	0.703791	24.34829	0.885937	0.0768384	0.037225	2.65781	0.230515	0.111675	6.232697	0.8563822	0.107487	0.428881	0.971432	2.4922	0.0427547	0.0212586	0.343693	0.0197318	0.173476	0.0982884	0.289624	0.0111736	0.342037	0.170069	2.74954	0.157855	1.38781	0.786307	2.31699	0.0893886	4.796543
