Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
0	-7028336	-7028168	-168.6407	10	10	10	1.092102	0.121212	0.334719	0.544069	0.363636	1.00416	1.63221	0.7	0.04509753	2.48742e-14	2.35433e-07	0.00283667	3.99716	0.21558	0.00129953	0.0190453	0.120149	0.193612	0.223231	0.0260695	0.201014	1.72464	0.0103963	0.152362	0.961191	1.5489	1.78585	0.208556	1.60811	19.61438
1	-1468247	-1468047	-199.6292	10	10	10	1.092102	0.113222	0.312655	0.574123	0.339666	0.937966	1.72237	0.5528783	0.04428848	1.41884e-14	1.77824e-07	0.00252489	3.99747	0.255818	0.00154209	0.0667765	0.0773637	0.0641344	0.264897	0.0309354	0.238533	2.04654	0.0123367	0.534212	0.61891	0.513075	2.11918	0.247483	1.90827	22.72794
2	-693124	-692903.3	-220.7132	10	10	7.59086	1.092102	0.347877	0.28928	0.362843	1.04363	0.867839	1.08853	0.475786	0.04428848	1.41884e-14	1.77824e-07	0.00252489	3.99747	0.255726	0.00189886	0.0667526	0.0773361	0.0641115	0.264802	0.0309243	0.238448	2.04581	0.0151908	0.534021	0.618689	0.512892	2.11842	0.247394	1.90758	25.08496
3	-174774.6	-174523.6	-250.9963	10	10	7.56993	1.706922	0.777392	0.128777	0.0938307	2.33218	0.386332	0.281492	0.3857396	0.04428848	1.41884e-14	1.77824e-07	0.00252489	3.99747	0.250437	0.00185958	0.0653721	0.0757367	0.0627856	0.259326	0.050966	0.233517	2.0035	0.0148767	0.522977	0.605893	0.502284	2.07461	0.407728	1.86813	28.06289
4	-66679.19	-66403.23	-275.9568	8.14143	10	7.08388	3.488683	0.950611	0.00581159	0.0435771	2.85183	0.0174348	0.130731	0.3857396	0.06849157	8.99401e-10	4.46806e-05	0.0250211	3.97493	0.245044	0.00181953	0.0855022	0.0741054	0.0614333	0.253741	0.0498683	0.228487	1.96035	0.0145563	0.684017	0.592844	0.491466	2.02992	0.398947	1.8279	30.61522
5	-61311.46	-61032.88	-278.5824	8.14143	10	7.08388	3.568335	0.9486	0.00791543	0.0434848	2.8458	0.0237463	0.130455	0.3857396	0.0736255	3.68583e-09	9.04113e-05	0.0335266	3.96638	0.245044	0.00181953	0.0855022	0.0741054	0.0614333	0.253741	0.0498683	0.228487	1.96035	0.0145563	0.684017	0.592844	0.491466	2.02992	0.398947	1.8279	30.86982
6	-44368.14	-44090.32	-277.8258	8.14143	10	6.75184	7.118667	0.941027	0.0158357	0.0431377	2.82308	0.047507	0.129413	0.3000718	0.1188069	4.71169e-06	0.00321895	0.147362	3.84941	0.0656398	0.00212767	0.0999821	0.0866553	0.0718371	0.296712	0.109864	0.267182	0.525118	0.0170214	0.799857	0.693243	0.574697	2.3737	0.878912	2.13745	30.4809
7	-42132.74	-41878.37	-254.3745	5.12893	10	6.75124	7.118667	0.941027	0.0158357	0.0431377	2.82308	0.047507	0.129413	0.2989092	0.1188069	4.71169e-06	0.00321895	0.147362	3.84941	0.0656398	0.00212767	0.0999821	0.0866553	0.0718371	0.296712	0.109864	0.267182	0.525118	0.0170214	0.799857	0.693243	0.574697	2.3737	0.878912	2.13745	28.43719
8	-39913.22	-39673.99	-239.2217	5.12893	8.58121	6.75124	8.210458	0.946341	0.0159251	0.0377336	2.83902	0.0477753	0.113201	0.2989092	0.1188069	4.71169e-06	0.00321895	0.147362	3.84941	0.0656398	0.00212767	0.0999821	0.0866553	0.0718371	0.296712	0.109864	0.267182	0.525118	0.0170214	0.799857	0.693243	0.574697	2.3737	0.878912	2.13745	26.95462
9	-38635.97	-38406.24	-229.7252	5.12893	8.58121	4.88431	8.210458	0.946341	0.0159251	0.0377336	2.83902	0.0477753	0.113201	0.3520756	0.1536699	6.6151e-05	0.0120091	0.252866	3.73506	0.0677792	0.00219702	0.103241	0.0894797	0.0741785	0.306383	0.113445	0.243297	0.542233	0.0175762	0.825927	0.715838	0.593428	2.45106	0.907559	1.94638	26.18634
